full_name,rating,total_ratings,business_category,price_range,address,phone,website,review_topics,latitude,longitude
Cocktails And Steaks,4.4,(132),Steak house,,"193 Main St, Uddingston, Glasgow G71 7BP, United Kingdom",+44 1698 768118,cocktailsandsteaks.co.uk,"['value\n5', 'wine\n5', 'burgers\n3']",55.8231608,-4.0848815
The Anchor Line,4.5,"(1,121)",Bar & grill,$$,"12–16 St Vincent Pl, Glasgow G1 2DH, United Kingdom",+44 141 248 1434,theanchorline.co.uk,"['cocktails\n81', 'steak\n15', 'building\n14', 'food and service\n9', 'choice\n8', 'piano\n7', 'interior\n6', 'christmas lunch\n5', 'course\n5', 'noise\n5']",55.8611796,-4.252289
Steak Cattle & Roll,4.3,(450),Bar & grill,$$,"396 Sauchiehall St, Glasgow G2 3JD, United Kingdom
Located in: Ashfield House",+44 141 237 1919,steakcattleandroll.co.uk,"['vegan\n24', 'milkshakes\n18', 'value\n12', 'hotdog\n10', 'portion sizes\n10', 'filling\n8', 'onion rings\n6', 'sides\n6', 'gluten free\n5', 'mac and cheese\n5']",55.8658601,-4.2661061
Milano,4.4,(365),Italian restaurant,$$,"3 Auchenkilns Park, Cumbernauld, Glasgow G68 9AW, United Kingdom",+44 1236 722947,,"['steak\n15', 'value\n8', 'courses\n6', 'food, service\n6', 'night\n5', 'pasta\n5', 'burger\n4', 'mussels\n3', 'toilets\n3', 'parking\n3']",55.9434732,-4.0170798
Beefeater West Highland Gate,4.0,(409),Steak house,$$,"103 Main St, Milngavie, Glasgow G63 6JQ, United Kingdom",+44 141 956 7835,beefeater.co.uk,"['', '', '', '', '', '', '', '', '', '']",55.9347678,-4.3161929
Benihana Glasgow,4.5,(75),Japanese steakhouse,,"7 W Nile St, Glasgow G1 2PR, United Kingdom",+44 141 442 0141,benihanainternational.com,"['', '', '', '', '', '', '', '', '', '']",55.8608008,-4.2558414
Beefeater Black Bear,3.9,(680),Steak house,$$,"601 Hamilton Rd, Uddingston, Glasgow G71 7SA, United Kingdom",+44 141 773 1133,beefeater.co.uk,"['', 'chips\n11', 'burger\n9', 'value\n8', '', '', '', '', '', '']",55.8369596,-4.1103504
Beefeater The Castle,4.1,(462),Steak house,$$,"Greenlaw Rd, Crookfur Rd, Newton Mearns, Glasgow G77 6NP, United Kingdom",+44 141 955 7901,beefeater.co.uk,"['breakfast\n16', 'value\n13', 'cold\n6', 'book\n4', 'chips\n4', 'choice\n4', 'pub\n3', 'vegetarian\n3', 'xmas\n3', 'chef\n3']",55.784467,-4.348343
Beefeater Crooked Lum,3.9,(547),Steak house,$$,"Brunel Way, East Kilbride, Glasgow G75 0JY, United Kingdom",+44 1355 222809,beefeater.co.uk,"['breakfast\n23', 'value\n8', 'burgers\n7', 'mixed grill\n6', 'toilets\n6', 'discount\n6', 'pint\n5', 'party\n5', 'beer garden\n4', 'voucher\n4']",55.7577595,-4.1707449
134 Steak House,4.4,(404),Steak house,$$,"134 Cathcart St, Greenock PA15 1BQ, United Kingdom",+44 1475 648143,,"['value\n12', 'portion size\n8', 'birthday\n8', 'party\n5', 'fries\n5', 'enchiladas\n4', 'fajitas\n3', 'mac and cheese\n3', 'main course\n3', 'chef\n3']",55.947141,-4.7556048
Steak Inn,4.6,(292),Restaurant,,"508 Victoria Rd, Glasgow G42 8PQ, United Kingdom",+44 141 423 8887,,"['customer service\n16', 'burger\n12', 'well done\n11', 'sides\n11', 'halal\n9', 'lamb\n9', 'sirloin steak\n6', 'prawns\n6', 'mash\n6', 't-bone steak\n5']",55.8347149,-4.2656333
Village Steakhouse,3.8,(214),Steak house,$$,"2 Montgomery St, East Kilbride, Glasgow G74 4JS, United Kingdom",+44 1355 226666,legends-ek.co.uk,"['value\n18', 'course\n10', 'sunday roast\n9', 'birthday\n7', 'chips\n4', 'family meal\n3', 'roast beef\n3', 'desert\n3', 'choice\n3', 'wine\n3']",55.7652129,-4.175779
Milano Steak House,4.2,(213),Steak house,$$,"3 Auchenkilns Park, Cumbernauld, Glasgow G68 9AW, United Kingdom",+44 1236 722947,,"['course\n4', 'value\n4', 'choice\n4', 'parking\n4', 'atmosphere\n3']",55.9436373,-4.0170384
"Cut Bothwell - Steakhouse, Bar & Functions",4.5,(228),Restaurant,,"1 Old Mill Rd, Bothwell, Glasgow G71 8AY, United Kingdom",+44 1698 850412,cutbothwell.com,"['cooked\n9', 'drinks\n6', 'wine\n5', 'night\n5', 'course\n4', 'party\n3', 'potato\n3', 'chicken\n3']",55.7998987,-4.0646545
AMBALA RESTAURANT GLASGOW,4.4,(510),Indian restaurant,$$,"11 Forth St, Pollokshields, Glasgow G41 2SP, United Kingdom",+44 141 258 1120,ambalaonline.co.uk,"['karahi\n7', 'lamb\n6', 'peri peri\n5', 'burgers\n5', 'mixed grill\n4', 'chops\n4', 'to go\n4', 'pakistani food\n3', 'bottle\n3', 'oily\n3']",55.843265,-4.269323
Stack & Still,4.2,(982),Pancake restaurant,$$,"100-108, W George St, Glasgow G2 1PJ, United Kingdom",+44 141 471 0417,stackandstill.co.uk,"['savoury\n48', 'service charge\n24', 'gluten free\n15', 'vegan\n14', 'buttermilk\n11', 'pulled pork\n10', 'self service\n8', 'food waste\n5', 'protein\n5', 'sugar free\n5']",55.8623797,-4.2555165
Tiki Bar & Kitsch Inn,4.5,(475),Cocktail bar,$$,"214 Bath St, Glasgow G2 4HW, United Kingdom",+44 141 332 1341,tikibarglasgow.com,"['thai food\n25', 'rum\n16', 'menu\n14', 'lunch\n12', 'value\n9', 'chicken\n6', 'tiki mugs\n4', 'satay\n4', 'foosball\n4', 'course\n3']",55.8649446,-4.2643641
Stack & Still,4.2,(982),Pancake restaurant,$$,"100-108, W George St, Glasgow G2 1PJ, United Kingdom",+44 141 471 0417,stackandstill.co.uk,"['savoury\n48', 'service charge\n24', 'gluten free\n15', 'vegan\n14', 'buttermilk\n11', 'pulled pork\n10', 'self service\n8', 'food waste\n5', 'protein\n5', 'sugar free\n5']",55.8623797,-4.2555165
Tiki Bar & Kitsch Inn,4.5,(475),Cocktail bar,$$,"214 Bath St, Glasgow G2 4HW, United Kingdom",+44 141 332 1341,tikibarglasgow.com,"['thai food\n25', 'rum\n16', 'menu\n14', 'lunch\n12', 'value\n9', 'chicken\n6', 'tiki mugs\n4', 'satay\n4', 'foosball\n4', 'course\n3']",55.8649446,-4.2643641
Yadgar Kebab House,4.3,(362),Kebab shop,,"148 Calder St, Glasgow G42 7QP, United Kingdom",+44 141 424 3722,,"['curry\n16', 'takeaway\n16', 'karahi\n13', 'pakistani food\n9', 'pakora\n5', 'chips\n5', 'chapatti\n4', 'chops\n4', 'mince\n4', 'naan\n3']",55.837335,-4.262017
TURKIYE RESTAURANT,4.5,(101),Turkish restaurant,,"97/99 Candleriggs, Glasgow G1 1NP, United Kingdom",+44 141 553 1577,turkiyeglasgow.co.uk,"['experience\n5', 'waiter\n5', 'belly dancer\n4', 'food and service\n3', 'atmosphere\n3', 'cost\n3', 'baklava\n3', 'lamb\n3', 'dinner\n3']",55.8589326,-4.2456314
29 Glasgow,4.2,(377),Event venue,,"29 Royal Exchange Square, Glasgow G1 3AJ, United Kingdom",+44 141 225 5615,29glasgow.com,"['drinks\n16', 'wedding\n11', 'cocktails\n9', 'bar\n9', 'afternoon tea\n7', 'club\n7', 'dinner\n6', 'christmas\n6', 'steak\n5', 'gin\n4']",55.860031,-4.253474
Bufalo Grill,4.6,(41),Restaurant,,"515 Sauchiehall St, Glasgow G3 7PQ, United Kingdom",+44 141 221 5454,facebook.com,"['steak\n11', 'burgers\n6', 'pizza\n4', 'sauce\n3', 'chicken\n3']",55.8661948,-4.2720608
Sizzler Grill House,3.9,(30),Indian restaurant,,"357 Bilsland Dr, Glasgow G20 9LT, United Kingdom",+44 141 945 5959,sizzlergrillhouse.com,['delivery\n5'],55.8880188,-4.2719221
Montford House,4.3,(286),Pub,,"23-27 Curtis Ave, City Centre, Glasgow G44 4QD, United Kingdom",+44 141 616 6635,,"['meal\n11', 'pint\n4', 'night\n4', 'family\n3']",55.8266667,-4.2461111
Loon Fung Cantonese Restaurant,4.2,(508),Chinese restaurant,$$,"Sauchiehall St, City Centre, Glasgow G2 3LG, United Kingdom",+44 141 332 1240,loonfungglasgow.com,"['dim sum\n46', 'cantonese food\n13', 'experience\n8', 'racist\n4', 'traditional food\n4', 'roast\n4', 'duck\n4', 'portion sizes\n4', 'rice rolls\n3', 'language\n3']",55.8658944,-4.26885
Nando's Glasgow - Sauchiehall Street,4.2,(683),Chicken restaurant,$$,"263 Sauchiehall St, Glasgow G2 3EZ, United Kingdom",+44 141 353 3682,nandos.co.uk,"['peri peri\n8', 'burger\n6', 'experience\n6', 'chips\n6', 'environment\n5', 'halloumi\n4', 'pitta\n3', 'music\n3', 'hot sauce\n3', 'choice\n3']",55.86517,-4.262983
Cafe Antipasti,4.5,(492),Italian restaurant,$$,"305 Sauchiehall St, Glasgow G2 3HQ, United Kingdom",+44 141 332 9002,antipasti.co.uk,"['value\n28', 'choice\n8', 'pasta\n8', 'theatre\n7', 'night\n7', 'food and service\n6', 'atmosphere\n6', 'small plates\n5', 'course\n5', 'sticky toffee\n3']",55.8653545,-4.2645657
1051 GWR,4.4,(441),Restaurant,$$,"1051 GWR, 1051 Great Western Rd, Glasgow G12 0XP, United Kingdom",+44 141 339 5575,1051gwr.co.uk,"['drinks\n23', 'steak\n14', 'value\n12', 'craft beers\n9', 'pub\n8', 'choice\n6', 'atmosphere\n6', 'cocktails\n5', 'building\n5', 'chef\n5']",55.8841756,-4.3094838
Grill on the Bridge,4.8,(148),Steak house,,"Bridge St, Dumbarton G83 1NT, United Kingdom",+44 1389 607297,,"['food and service\n5', 'cash\n4', 'cheesecake\n4', 'chef\n4', 'value\n3', 'burger\n3']",55.89883055,-4.40865715
Bar Square,3.8,(113),Bar & grill,$$,"5 Bell St, Glasgow G1 1NU, United Kingdom
Located in: Merchant Square",+44 141 552 3232,barsquare.co.uk,"['breakfast\n6', 'toilets\n5', 'cooked\n4', 'wrap\n3', 'choice\n3', 'steak\n3', 'customer service\n3', 'waitress\n3']",55.8582744,-4.2453479
Malmaison Brasserie,4.1,(87),French restaurant,,"278 W George St, Glasgow G2 4LL, United Kingdom
Located in: Malmaison Glasgow",+44 141 572 1000,malmaison.com,"['sunday lunch\n3', 'hotel\n3']",55.8634239,-4.2648444
Chunky Chicken,3.9,(345),Fast food restaurant,$,"532 Sauchiehall St, Glasgow G2 3LX, United Kingdom",+44 141 332 1772,chunkychickenglasgow.co.uk,"['peri peri\n14', 'delivery\n11', 'wrap\n7', 'halal\n6', 'platter\n5', 'rice\n5', 'phone\n5', 'takeaway\n5', 'hot wings\n4', 'fried chicken\n4']",55.8663155,-4.2700927
Baby Grand Bar & Grill,4.1,(241),Bar & grill,$$,"3-7 Elmbank Gardens, Glasgow G2 4NQ, United Kingdom",+44 141 248 4942,,"['piano\n14', 'evening\n7', 'breakfast\n7', 'theatre\n6', 'choice\n6', 'train\n5', 'wine\n5', 'to go\n3', 'chicken\n3']",55.8648868,-4.2703183
Miller & Carter Edinburgh City Centre,4.6,"(1,908)",Steak house,$$,"29-31 Frederick St, Edinburgh EH2 2ND, United Kingdom",+44 131 603 6080,millerandcarter.co.uk,"['cocktails\n17', 'value\n15', 'butcher block\n12', 't-bone\n12', 'courses\n11', 'anniversary\n10', 'chateaubriand\n9', 'beef dripping\n8', 'toilets\n6', 'prosecco\n5']",55.9527016,-3.1999156
LIFE Glasgow,4.2,(414),Bar & grill,$$,"396 Sauchiehall St, Glasgow G2 3JD, United Kingdom
Located in: Ashfield House",+44 141 237 1919,lifeglasgow.co.uk,"['burger\n18', 'cocktails\n14', 'live music\n8', 'fries\n7', 'night\n5', 'birthday\n4', 'hot dog\n3', 'pints\n3', 'mac and cheese\n3', 'dj\n3']",55.8658479,-4.2660584
Miller & Carter Cramond Brig,4.4,"(1,424)",Steak house,$$,"Queensferry Rd, Cramond, Edinburgh EH4 6DY, United Kingdom",+44 131 339 4350,millerandcarter.co.uk,"['value\n17', 'choice\n16', 'lettuce\n11', 'toilets\n10', 'walk\n8', 'pudding\n7', 'beef dripping\n5', 'fish and chips\n5', 'loaf\n5', 'pub\n5']",55.965198,-3.317279
Akbar's Glasgow,4.3,(982),Indian restaurant,$$,"573-581 Sauchiehall St, Glasgow G3 7PQ, United Kingdom",+44 141 222 2258,akbars.co.uk,"['naan\n69', 'lamb\n29', 'desi\n13', 'chops\n12', 'chicken tikka\n10', 'balti\n9', 'chicken karahi\n6', 'keema\n6', 'nihari\n5', 'pakistani food\n5']",55.8660583,-4.273689
Coulotte Steakhouse,5.0,(2),Restaurant,,"80 Main St, Cambuslang, Glasgow G72 7EQ, United Kingdom",+44 141 641 1405,,[],55.8188282,-4.1666484
Chop House Bruntsfield,4.3,(277),Steak house,$$$,"88 Bruntsfield Pl, Edinburgh EH10 4HG, United Kingdom",+44 131 629 6565,chophousesteak.co.uk,"['sides\n15', 'cocktails\n8', 'fries\n8', 'well done\n7', 'night\n5', 'oysters\n4', 'basement\n3', 'sunday roast\n3', 'rump\n3', 'food and wine\n3']",55.8593755,-3.79997185
Sannino Pizzeria,3.7,(24),Pizza restaurant,,"59 Elmbank St, Glasgow G2 4PQ, United Kingdom",+44 141 332 3565,sannino.co.uk,"['italian restaurant\n5', 'theatre\n4']",55.8654196,-4.2683277
Verona,4.4,(314),Italian restaurant,$$,"88 W Regent St, Glasgow G2 2QZ, United Kingdom",+44 141 332 7414,verona-glasgow.co.uk,"['value\n13', 'course\n5', 'wine\n5', 'christmas dinner\n3', 'sister\n3', 'calzone\n3', 'carbonara\n3', 'atmosphere\n3']",55.8633427,-4.2575039
Bavaria Brauhaus,4.4,"(1,855)",Bar,$$,"30 Bothwell St, Glasgow G2 6NU, United Kingdom",+44 141 457 7100,bavariabrauhaus.com,"['german beers\n105', 'pint\n25', 'band\n14', 'oom-pah\n9', 'brass\n8', 'currywurst\n7', 'table service\n7', 'sauerkraut\n5', 'pork knuckle\n5', 'schnitzel\n5']",55.861257,-4.259831
The Drake,4.5,(264),Restaurant,$$,"1 Lynedoch St, Kelvingrove, Glasgow G3 6EF, United Kingdom",+44 141 332 7363,thedrakebar.co.uk,"['pub\n16', 'drinks\n13', 'dog\n11', 'atmosphere\n5', 'choice\n4', 'night\n4', 'party\n3', 'dining room\n3', 'music\n3']",55.868412,-4.2731061
Dakota Glasgow,4.7,(730),,4-star hotel,"179 W Regent St, Glasgow G2 4DP, United Kingdom",+44 141 404 3680,dakotahotels.co.uk,[],55.8642281,-4.2646083
Chop House Market Street,4.4,(547),Steak house,$$$,"Arch 15 E Market St, Edinburgh EH8 8FS, United Kingdom",+44 131 629 1551,chophousesteak.co.uk,"['sides\n26', 'wine\n20', 'porterhouse\n12', 'breakfast\n9', 'sourdough\n7', 'bloody mary\n6', 'sunday roast\n6', 'oysters\n6', 'scotch egg\n5', 'onion rings\n5']",55.9514536,-3.1846995
Ardnamurchan Scottish Restaurant & Bar,4.6,(510),Country food restaurant,$$,"325 Hope St, Glasgow G2 3PT, United Kingdom
Located in: Royal Conservatoire of Scotland",+44 141 353 1500,ardnamurchan.biz,"['value\n24', 'waiter\n19', 'courses\n15', 'steak\n15', 'scallops\n7', 'stew\n7', 'cocktails\n7', 'food and service\n7', 'black pudding\n5', 'seafood\n5']",55.8664683,-4.2567293
The Restaurant Bar & Grill,4.3,(218),Bar & grill,,"2nd Princes Square Shopping Centre, 42 Buchanan St, Glasgow G1 3JX, United Kingdom
Located in: Princes Square Shopping Centre",+44 141 225 5622,individualrestaurants.com,"['steak\n8', 'waiter\n7', 'wine\n5', 'cooked\n5', 'food, service\n4', 'customer service\n4', 'chips\n3', 'evening\n3', 'atmosphere\n3', 'experience\n3']",55.8591733,-4.2537892
Viva,4.4,(534),Italian restaurant,$$,"77 Bothwell St, Glasgow G2 6TS, United Kingdom",+44 141 243 2162,viva-ristorante.com,"['value\n12', 'choice\n6', 'vegan\n4', 'food service\n4', 'main courses\n4', '5pm\n3', 'voucher\n3', 'sausage\n3', 'environment\n3']",55.8611111,-4.2613889
The Bon Accord,4.6,"(1,065)",Pub,$$,"153 North St, Glasgow G3 7DA, United Kingdom",+44 141 248 4427,bonaccordpub.com,"['real ale\n57', 'whisky selection\n25', 'choice\n16', 'lunch\n15', 'single malts\n9', 'steak pie\n8', 'craft beers\n8', 'app\n6', 'dram\n5', 'knowledge\n5']",55.8641777,-4.2715287
Tony Macaroni Glasgow City Centre,4.2,(796),Italian restaurant,$$,"133 W George St, Glasgow G2 2HG, United Kingdom",+44 141 221 4718,,"['value\n13', 'quick service\n8', 'course\n7', 'toilets\n6', 'portion sizes\n6', 'mac and cheese\n5', 'bruschetta\n5', 'wine\n5', 'ribs\n4', 'mozzarella sticks\n3']",55.8622053,-4.2566515
Hotel ibis Glasgow City Centre - Sauchiehall Street,4.0,"(1,071)",,3-star hotel,"220 W Regent St, Glasgow G2 4DQ, United Kingdom",+44 141 225 6000,all.accor.com,[],55.864368,-4.266112
Ad Lib,4.3,(479),American restaurant,$$,"111 Hope St, Glasgow G2 6LL, United Kingdom",+44 141 248 6645,adlibglasgow.com,"['burger\n51', 'music\n11', 'mac and cheese\n8', 'cocktails\n6', 'take away\n5', 'steak\n5', 'pint\n4', 'fried chicken\n4', 'lamb\n3', 'pulled pork\n3']",55.8606895,-4.2590602
Hotel Novotel Glasgow Centre,4.2,"(1,168)",,4-star hotel,"181 Pitt St, Glasgow G2 4DT, United Kingdom",+44 141 619 9001,all.accor.com,[],55.8644302,-4.2653088
Amber Regent,4.4,(397),Chinese restaurant,$$,"50 W Regent St, Glasgow G2 2RA, United Kingdom",+44 141 331 1655,amberregent.com,"['value\n13', 'money\n10', 'food and service\n7', 'evening\n6', 'female\n5', 'experience\n5', 'gluten free\n4', 'course\n4', 'birthday\n4', 'satay\n3']",55.863198,-4.256561
Roma Meditteranean Restaurant,4.1,(448),Italian restaurant,$$,"46 Bath St, Glasgow G2 1HG, United Kingdom",+44 141 332 9641,romaglasgow.co.uk,"['value\n28', 'wine\n8', 'evening\n7', 'christmas\n6', 'quick service\n5', 'steak\n5', 'courses\n4', 'entertainment\n3', 'cheesecake\n3', 'discount\n3']",55.8638058,-4.2552609
The Koh-I-Noor Restaurant,4.1,(138),Indian restaurant,$$,"235 North St, Glasgow G3 7DL, United Kingdom",+44 141 204 1444,koh-i-noorglasgow.co.uk,"['buffet\n22', 'choice\n8', 'waiter\n5', 'a la carte\n4', 'lamb\n4', 'pakora\n3', 'night\n3', 'takeaway\n3']",55.8658086,-4.2716826
NY American Grill,4.1,(239),Restaurant,$$,"2nd Floor, Princes Square, 48 Buchanan St, Glasgow G1 3JN, United Kingdom
Located in: Princes Square Shopping Centre",+44 141 221 7667,nyamericangrill.co.uk,"['burger\n18', 'cocktails\n15', 'drinks\n11', 'chicken\n8', 'chips\n6', 'steak\n5', 'cooked\n5', 'sauce\n5', 'voucher\n3', 'hot dog\n3']",55.859171,-4.25381
The Flying Duck,4.4,"(1,024)",Vegan restaurant,$$,"142 Renfield St, Glasgow G2 3AU, United Kingdom",+44 141 564 1450,theflyingduck.org,"['mac and cheese\n16', 'pub\n11', 'student\n11', 'basement\n9', 'pool table\n8', 'live music\n8', 'board games\n7', 'pints\n7', 'graffiti\n6', 'cinema\n5']",55.8655041,-4.2550565
