full_name,rating,total_ratings,business_category,address,phone,website,latitude,longitude
CPX Printing & Logistics,3.0,(4),Print shop,"4/81 Bishop St, Kelvin Grove QLD 4059, Australia",+61 7 3221 1212,cpx.com.au,-27.441349,153.011052
Boost 3D Print Solutions,,,Print shop,"Paddington, QLD 4064, Australia",,,-27.4587729,152.9969639
Paradigm Print Media,5.0,(20),Print shop,"1/15 Nariel St, Brisbane City QLD 4010, Australia",+61 7 3394 1772,paradigmprintmedia.com.au,-27.4399125,153.0441239
Flyers Direct Pty Ltd.,,,Business management consultant,"123 Eagle St, Brisbane City QLD 4000, Australia",+61 1300 363 365,leafletsdropsmelbourne.com.au,-27.467174,153.030163
Rogue Print and Mail,4.9,(55),Commercial printer,"7/421 Brunswick St, Fortitude Valley QLD 4006, Australia
Located in: Central Brunswick",+61 1300 658 500,rogueprintandmail.com.au,-27.459833,153.036564
Printing & More Ashgrove,5.0,(3),Print shop,"240 Waterworks Road G34B1, Ashgrove QLD 4060, Australia",+61 7 5646 3206,printingashgrove.com.au,-27.44593105,152.9926889
Worldwide Hamilton,5.0,(31),Print shop,"19 Allen Street - Enter via carpark, Unit 2/482 Kingsford Smith Drive, Hamilton QLD 4007, Australia",+61 7 3630 0799,worldwide.com.au,-27.4381381,153.0652603
Artscreen Printing Services,,,Print shop,"15 Harvton St, Stafford QLD 4053, Australia",+61 7 3356 7666,,-27.4184492,153.013355
i3dps,,,Print shop,"3/121 Newmarket Rd, Windsor QLD 4030, Australia
Located in: Windsor commercial village",+61 7 3861 1440,i3dps.com.au,-27.4369015,153.0244025
Custom Printing,4.2,(21),Print shop,"1/229 Junction Rd, Morningside QLD 4170, Australia",+61 7 3399 7878,customprinting.com.au,-27.458243,153.0872295
Banner Specialists,5.0,(4),Print shop,"24 Manilla St, East Brisbane QLD 4169, Australia",+61 7 3391 8777,baileyprintgroup.com.au,-27.4817686,153.041612
Moore Print,,,Print shop,"32 Corunna St, Albion QLD 4010, Australia",+61 7 3862 2550,,-27.4312545,153.0399197
"Natural Art - Screen Printing, Signage & Promotional Products",,,Screen printing shop,"2/338 Lytton Rd, Morningside QLD 4170, Australia",+61 7 3902 3220,naturalart.com.au,-27.455587,153.078779
Print Promotion,5.0,(20),Print shop,"433 Stones Rd, Stones Corner QLD 4120, Australia
Located in: Stones Corner Village",+61 1300 669 211,printpromotion.com.au,-27.500193,153.045281
Falcon Print Pty Ltd.,5.0,(1),Print shop,"3/7 Wolverhampton St, Stafford QLD 4053, Australia",+61 7 3356 1608,falconprint.com.au,-27.417243,153.015222
King of Print,4.0,(8),Graphic designer,"Cathedral Village, 7/115 Wickham St, Fortitude Valley QLD 4006, Australia
Located in: Cathedral Village",+61 1300 362 480,,-27.4591938,153.0321561
"Snap Print & Design Brisbane, Queen St.",5.0,(11),Graphic designer,"345 Ann St, Brisbane City QLD 4000, Australia",+61 7 3221 6350,snap.com.au,-27.4647103,153.0284995
Space Print,4.9,(58),Commercial printer,"105a Bowen St, Spring Hill QLD 4000, Australia",+61 1300 344 778,spaceprint.com.au,-27.461763,153.027751
Soltau Artworks,,,Print shop,"50 Shelley St, Cannon Hill QLD 4170, Australia",+61 7 3399 3699,,-27.4712476,153.0914326
Bailey Print Group,5.0,(4),Banner store,"24 Manilla St, East Brisbane QLD 4169, Australia",+61 7 3391 8777,baileyprintgroup.com.au,-27.48172255,153.04159115
Media Gen,,,Print shop,"87 Webster Rd, Stafford QLD 4053, Australia",+61 7 3856 5777,,-27.4155923,153.0163271
Ink and Print,,,Print shop,"Kenmore QLD 4069, Australia",+61 7 3720 2806,,-27.5073754,152.9400124
ePrint,4.8,(121),Digital printing service,"2/101 Newmarket Rd, Windsor QLD 4030, Australia",+61 7 3866 9600,eprintonline.com.au,-27.4367574,153.0252325
Street's Imaging Services,5.0,(89),Photo lab,"4/7 Anthony St, West End QLD 4101, Australia",+61 7 3255 1130,streetsimaging.com.au,-27.4770562,153.007136
Topview Photo Studio ( 澳洲航拍画廊 ）,4.5,(2),画廊,"8 Duncan St, Fortitude Valley QLD 4006, Australia",+61 410 233 339,vh66.com,-27.459024,153.034408
Innovative Film Solutions,,,Sign shop,,,innovativefs.com.au,-27.51956835,153.15360915
Pivot Printing,5.0,(2),Digital printing service,,+61 415 810 113,pivotprinting.com.au,-31.99852,136.0141176
Snap Print & Design South Brisbane,4.6,(32),Commercial printer,"Ivy and Eve Tower Ground Floor (Enter via Fuelled Café, 22 – 28 Merivale St, South Brisbane QLD 4101, Australia",+61 7 3846 0515,snap.com.au,-27.4765563,153.017053
New Day Printing,,,Print shop,"194 Graceville Ave, Graceville QLD 4075, Australia",+61 7 3379 3325,htlogistics.com.au,-27.523059,152.990503
Q PRINT & SIGNS,4.5,(15),Print shop,"2/4 Patricks Rd, Arana Hills QLD 4054, Australia",+61 1300 866 593,qprintandsigns.com.au,-27.3972251,152.9593732
THE Blue Print Co PTY LTD,,,Print shop,"60 Tirrabella St, Carina Heights QLD 4152, Australia",+61 7 3395 4467,,-27.512546,153.096469
JR Durrington & Sons PTY LTD,5.0,(1),Print shop,"47 Curzon St, Tennyson QLD 4105, Australia",+61 7 3892 6144,,-27.528294,153.004456
Blue Web,,,Website designer,"1006/977 Ann St, Fortitude Valley QLD 4006, Australia",+61 490 035 540,pottsvilleit.com.au,-27.453262,153.0405876
The Best Printing,,,Print shop,"25 Prudence Ct, Carina QLD 4152, Australia",+61 422 133 147,thebestprinting.com.au,-27.4886697,153.1082687
Kwik Kopy Eagle Farm,,,Print shop,"Unit 4/50 Parker Ct, Pinkenba QLD 4008, Australia",+61 7 3260 1444,kwikkopy.com.au,-27.4346269,153.1090638
Homefront,,,Print shop,"33 Payne Rd, The Gap QLD 4061, Australia",+61 7 3300 6347,,-27.4479136,152.9578713
Agem Print,,,Print shop,"3/112 Fison Ave W, Eagle Farm QLD 4009, Australia",+61 7 3338 3400,agemprint.com.au,-27.435711,153.087542
Hamilton Creative,,,Graphic designer,"Brisbane City QLD 4000, Australia",+61 401 401 385,filterstudio.com.au,-27.4710107,153.0234489
Archie's Diner QUT Kelvin Grove,2.7,(21),Pizza restaurant,"C Block, 30 Victoria Park Rd, Kelvin Grove QLD 4059, Australia
Located in: QUT Kelvin Grove Campus",,qut.edu.au,-27.4510911,153.0149429
QSP (Queensland Screenprints),,,Print shop,"2/61 Pentex St, Salisbury QLD 4107, Australia",+61 7 3277 3566,qspgroup.com.au,-27.54277,153.034243
Minuteman Press Woolloongabba,4.7,(36),Commercial printer,"1/159 Logan Rd, Woolloongabba QLD 4102, Australia",+61 7 3172 3179,minutemanpress.com.au,-27.49191,153.0405972
AJL Printing,,,Print shop,"4/84 Frederick St, Northgate QLD 4013, Australia",+61 7 3256 6522,,-27.386115,153.076239
All Print & Packaging,,,Print shop,"39 Flanders St, Salisbury QLD 4107, Australia",+61 7 3274 5665,,-27.54199,153.037183
Mitronics Brisbane - Printers - Copiers - Multifunction - Wide Format - Commbox Interactive - Lease Rent Buy - HP - Fuji Xerox - Konica Minolta - Brother - OKI - Managed Printer Services,,,Office equipment supplier,"Level 19/10 Eagle St, Brisbane City QLD 4000, Australia",+61 1300 207 122,mitronics.com.au,-27.469215,153.029797
Screen Offset Printing,5.0,(2),Print shop,"202 Robinson Rd E, Geebung QLD 4034, Australia",+61 7 3265 1900,screenoffsetprinting.com.au,-27.36945,153.051875
VB Designs,5.0,(8),Graphic designer,,+61 1300 732 217,vbdesigns.com.au,-27.3821409,152.99320455
Southport Printing,,,Print shop,"12 Navigator Pl, Hendra QLD 4011, Australia",+61 7 3868 1400,southportprintingco.com.au,-27.4124,153.075542
Diverse Grafik Printing,,,Glass & mirror shop,"shed 14/51 Prospect Rd, Gaythorne QLD 4051, Australia",+61 7 3355 2764,diversegrafik.com.au,-27.414096,152.981894
ECO Printing Pty Ltd,5.0,(1),Print shop,"21 Hawkes Ave, Arana Hills QLD 4054, Australia",+61 1300 605 019,ecoprinting.com.au,-27.384236,152.959858
Cornerstone Press Pty Ltd,3.7,(3),Print shop,"2/69 Crockford St, Northgate QLD 4013, Australia",+61 7 3256 7655,cornerstonepress.com.au,-27.3865654,153.0770372
Urban Road,5.0,(3),Art studio,,+61 7 4229 0862,urbanroad.com.au,-31.99852,148.54561955
Renegade Signs,,,Sign shop,"30/75 Welsby St, New Farm QLD 4005, Australia
Located in: Powerhouse Apartments",+61 433 200 896,,-27.4652897,153.0500349
MBE West End,4.7,(12),Commercial printer,"Shop 3/156 Boundary St, West End QLD 4101, Australia",+61 7 3847 7171,mbe.com.au,-27.4812677,153.0123116
Studio Central,,,Graphic designer,"28 Merivale St, Bne Sth QLD 4101, Australia",+61 7 3846 0011,,-27.474555,153.0157262
Miniature Print Finishing Australia PTY LTD,5.0,(1),Print shop,"4/483 Newman Rd, Geebung QLD 4034, Australia",+61 7 3865 5523,mpfa.net.au,-27.3624424,153.0497107
Kuhn Corp Press & Packaging,5.0,(1),Print shop,"47 Matheson St, Virginia QLD 4014, Australia",+61 7 3265 2888,kuhncorp.com.au,-27.368664,153.058754
Officeworks Milton,3.3,(189),Pen store,"147 Milton Rd, Milton QLD 4064, Australia",+61 7 3512 7600,officeworks.com.au,-27.4673312,153.0069674
Seven Print,5.0,(27),Print shop,"1/839 Boundary Rd, Coopers Plains QLD 4108, Australia",+61 7 3277 6880,sevenprint.com.au,-27.570096,153.0337667
MBE Newstead,5.0,(2),Commercial printer,"Corporate House, Lobby 1, Level 2/76 Skyring Terrace, Newstead QLD 4006, Australia
Located in: Gasworks Plaza",+61 7 3018 0411,mbe.com.au,-27.4504318,153.04446275
Flashback Photo Restoration @ The Framer Gallery,5.0,(1),Photo restoration service,"61 Vulture St, West End QLD 4101, Australia",+61 7 3846 1616,flashbackphoto.com.au,-27.480908,153.010043
Officeworks Woolloongabba,3.7,(276),Pen store,"164-176 Ipswich Rd, Woolloongabba QLD 4102, Australia",+61 7 3896 2300,officeworks.com.au,-27.495237,153.035029
Ed's PCs Toombul,4.7,(167),Computer store,"Toombul Shopping Centre, Shop 19 1015 Sandgate Rd, Nundah QLD 4012, Australia
Located in: Toombul",+61 7 3630 4414,edspcstoombul.com.au,-27.409931,153.06208
Printing & More Newstead,5.0,(1),Commercial printer,"Corporate House, Lobby 1, Level 2/76 Skyring Terrace, Newstead QLD 4006, Australia
Located in: Gasworks Plaza",,,-27.4507046,153.0443885
Kwik Kopy Darra,5.0,(2),Print shop,"4/60 Machinery St, Darra QLD 4076, Australia",+61 7 3375 1353,kwikkopy.com.au,-27.576642,152.948106
Symons Sign Co Pty Ltd,5.0,(1),Sign shop,"9 Holden St, Woolloongabba QLD 4102, Australia",+61 7 3391 4595,symonssigns.com.au,-27.4913378,153.0417534
Mylestones Printing,5.0,(7),Print shop,"3/503 Gympie Rd, Strathpine QLD 4500, Australia",+61 7 3881 2881,myprinting.org.au,-27.2997241,152.9883216
Cartridge World Clayfield,4.6,(7),Toner cartridge supplier,"104 Junction Rd, Clayfield QLD 4011, Australia",+61 7 3862 4888,cartridgeworld.com.au,-27.416323,153.059017
Markit Graphics,,,Print shop,"2/14 French Ave, Brendale QLD 4500, Australia",+61 7 3205 2248,vmgprintgroup.com.au,-27.3120451,152.9790303
Worldwide George Street - Mobile Serviced Centre,,,Digital printing service,"George St, Brisbane City QLD 4000, Australia",+61 7 3236 0544,worldwide.com.au,-27.4709824,153.0235762
Rocket Creative Design,,,Graphic designer,"1/16 McDougall St, Milton QLD 4064, Australia",+61 407 342 718,,-27.4703389,153.0076125
"Sn@!p Print & Design Brisbane, Felix Street",5.0,(16),Commercial printer,"7/10 Felix St, Brisbane City QLD 4000, Australia",+61 7 3221 5850,snap.com.au,-27.4708883,153.0301712
Milk Creative | Marketing & Branding,5.0,(15),Marketing agency,,+61 1300 627 783,milkcreative.com,-31.99852,136.01608155
Printing Brisbane,5.0,(32),Commercial printer,"11 Marana St, Shailer Park QLD 4127, Australia",+61 7 3208 5649,printingbrisbane.com.au,-27.6402753,153.1631035
Minuteman Press Slacks Creek,4.9,(51),Print shop,"U1/16 Randall St, Slacks Creek QLD 4127, Australia",+61 7 3299 5555,minutemanpress.com.au,-27.6255459,153.1188436
